epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,16057.1,0.8259,1.08933,1.06503,0.63774,0.6578,0.58106,0.35226,1.14465,1.61269,1.29612,0.004852,0.004852,0.004852
80,16260.4,0.81775,1.0767,1.06622,0.65786,0.57766,0.5778,0.36881,1.15629,1.59447,1.30723,0.004786,0.004786,0.004786
81,16463.5,0.82701,1.10639,1.0699,0.65487,0.62222,0.58814,0.35944,1.14442,1.60922,1.30473,0.00472,0.00472,0.00472
82,16666.2,0.81841,1.0865,1.06418,0.64996,0.6427,0.57288,0.34304,1.15015,1.65272,1.2975,0.004654,0.004654,0.004654
83,16869.3,0.82983,1.08163,1.06469,0.6704,0.6132,0.57838,0.35803,1.13741,1.60303,1.28858,0.004588,0.004588,0.004588
84,17072.1,0.81377,1.06134,1.06154,0.65035,0.59477,0.55062,0.34995,1.14644,1.64589,1.31052,0.004522,0.004522,0.004522
85,17274.9,0.81132,1.09843,1.05754,0.6388,0.66726,0.60153,0.36144,1.14108,1.64353,1.29052,0.004456,0.004456,0.004456
86,17477.8,0.82599,1.05933,1.05917,0.63573,0.59106,0.56813,0.35028,1.14695,1.66713,1.29563,0.00439,0.00439,0.00439
87,17680.8,0.80909,1.03155,1.05806,0.63504,0.61439,0.60554,0.3754,1.13643,1.65909,1.30144,0.004324,0.004324,0.004324
88,17883.9,0.79678,1.02707,1.04593,0.65523,0.66314,0.59102,0.36573,1.14484,1.69999,1.31491,0.004258,0.004258,0.004258
89,18087.3,0.7999,1.01422,1.05695,0.66545,0.60886,0.58972,0.36954,1.13795,1.65435,1.30199,0.004192,0.004192,0.004192
90,18290.3,0.80658,1.02541,1.0645,0.6696,0.53276,0.56203,0.35127,1.14278,1.67911,1.3133,0.004126,0.004126,0.004126
91,18493.3,0.79581,1.01624,1.05223,0.62069,0.60913,0.57842,0.35945,1.14309,1.68204,1.29674,0.00406,0.00406,0.00406
92,18696.5,0.80355,1.00746,1.06017,0.64594,0.61985,0.58209,0.36299,1.14697,1.66339,1.32068,0.003994,0.003994,0.003994
93,18899.6,0.77784,0.98281,1.0512,0.66338,0.66691,0.65217,0.38684,1.16158,1.53224,1.33412,0.003928,0.003928,0.003928
94,19103.1,0.78328,0.98841,1.0524,0.65499,0.61228,0.58184,0.36578,1.14198,1.59873,1.29321,0.003862,0.003862,0.003862
95,19306.2,0.78772,0.99474,1.0437,0.64449,0.5918,0.56187,0.3498,1.1381,1.72402,1.29625,0.003796,0.003796,0.003796
96,19509.4,0.77765,0.97077,1.04231,0.62725,0.62273,0.56612,0.3442,1.15385,1.67893,1.32518,0.00373,0.00373,0.00373
97,19712.3,0.77879,0.98782,1.04204,0.704,0.65493,0.58757,0.36334,1.13632,1.65597,1.31316,0.003664,0.003664,0.003664
98,19915.3,0.77835,0.99283,1.04864,0.72169,0.66147,0.62765,0.38212,1.14851,1.58242,1.31647,0.003598,0.003598,0.003598
99,20118.3,0.7697,0.95976,1.03696,0.69947,0.63217,0.59848,0.36726,1.13371,1.62415,1.30089,0.003532,0.003532,0.003532
100,20321.2,0.76576,0.94903,1.04124,0.60926,0.56236,0.55317,0.34945,1.16102,1.73865,1.33617,0.003466,0.003466,0.003466
101,20524.4,0.76767,0.92606,1.03434,0.69194,0.63846,0.59271,0.36167,1.13751,1.58579,1.30293,0.0034,0.0034,0.0034
102,20727.4,0.76135,0.93735,1.02868,0.64899,0.65787,0.59721,0.36933,1.14104,1.62633,1.30779,0.003334,0.003334,0.003334
103,20930.3,0.75807,0.92655,1.03121,0.64799,0.66569,0.59538,0.36757,1.15268,1.61396,1.31976,0.003268,0.003268,0.003268
104,21133.6,0.7654,0.94566,1.03819,0.69017,0.63295,0.61897,0.36353,1.15114,1.55285,1.31568,0.003202,0.003202,0.003202
105,21336.9,0.74568,0.91268,1.02382,0.70836,0.60779,0.60501,0.38034,1.14666,1.6535,1.32186,0.003136,0.003136,0.003136
106,21540.1,0.74162,0.92452,1.02723,0.65665,0.6102,0.58073,0.35563,1.13668,1.63473,1.3244,0.00307,0.00307,0.00307
107,21743.1,0.74898,0.9049,1.02197,0.70716,0.57505,0.58481,0.3632,1.15021,1.63844,1.324,0.003004,0.003004,0.003004
108,21946.3,0.74723,0.91682,1.02528,0.64194,0.61609,0.57696,0.35971,1.14941,1.66356,1.32263,0.002938,0.002938,0.002938
